Altium Designer Pick and Place Locations
E:\UltraZohm\uz_per_skai3_lv_48v_410a\Altium\Project Outputs for UZ_PER_SKAI3_LV_48V_410A\Rev01\Pick Place\Pick Place for UZ_PER_SKAI3_LV_48V_410A.csv

========================================================================================================================
File Design Information:

Date:       03.05.24
Time:       13:29
Revision:   11e546f216a869fc1e53c896e70bf41717d52dc1
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"C1","C_0603","26.4200","26.4200","59.4200","59.4200","26.4200","60.1200","270","0.1 µF","TopLayer"
"C2","C_0603","37.3400","37.3400","59.4200","59.4200","37.3400","60.1200","270","0.1 µF","TopLayer"
"C38","C_0603","49.2800","49.2800","58.7000","58.7000","49.9800","58.7000","180","0.1 µF","TopLayer"
"C32C","C_0603","84.3800","84.3800","58.0800","58.0800","84.3800","58.7800","270","100 nF","TopLayer"
"C32B","C_0603","105.3100","105.3100","58.2800","58.2800","105.3100","58.9800","270","100 nF","TopLayer"
"C32A","C_0603","78.5000","78.5000","44.6500","44.6500","78.5000","45.3500","270","100 nF","TopLayer"
"C34C","C_0603","81.2400","81.2400","50.2600","50.2600","80.5400","50.2600","0","56 pF","TopLayer"
"C34B","C_0603","102.2100","102.2100","50.3700","50.3700","101.5100","50.3700","0","56 pF","TopLayer"
"C34A","C_0603","75.7700","75.7700","36.7700","36.7700","75.0700","36.7700","0","56 pF","TopLayer"
"C33C","C_0603","74.3200","74.3200","53.4000","53.4000","73.6200","53.4000","0","56 pF","TopLayer"
"C33B","C_0603","95.2500","95.2500","53.6000","53.6000","94.5500","53.6000","0","56 pF","TopLayer"
"C33A","C_0603","68.4400","68.4400","39.9700","39.9700","67.7400","39.9700","0","56 pF","TopLayer"
"C30C","C_0603","85.1100","85.1100","54.5200","54.5200","85.8100","54.5200","180","100 nF","TopLayer"
"C30B","C_0603","106.0400","106.0400","54.7200","54.7200","106.7400","54.7200","180","100 nF","TopLayer"
"C30A","C_0603","79.2300","79.2300","41.0900","41.0900","79.9300","41.0900","180","100 nF","TopLayer"
"C31C","C_0603","39.5209","39.5209","41.0700","41.0700","39.5209","41.7700","270","0.1 µF","TopLayer"
"C31B","C_0603","63.9400","63.9400","58.8100","58.8100","63.9400","59.5100","270","0.1 µF","TopLayer"
"C31A","C_0603","56.7209","56.7209","41.0500","41.0500","56.7209","41.7500","270","0.1 µF","TopLayer"
"C29C","C_0603","40.2509","40.2509","37.6600","37.6600","40.9509","37.6600","180","0.1 µF","TopLayer"
"C29B","C_0603","64.6700","64.6700","55.4000","55.4000","65.3700","55.4000","180","0.1 µF","TopLayer"
"C29A","C_0603","57.4509","57.4509","37.6400","37.6400","58.1509","37.6400","180","0.1 µF","TopLayer"
"C36C","C_0603","36.0309","36.0309","33.4700","33.4700","35.3309","33.4700","0","56 pF","TopLayer"
"C36B","C_0603","60.4500","60.4500","51.2100","51.2100","59.7500","51.2100","0","56 pF","TopLayer"
"C36A","C_0603","53.2309","53.2309","33.4500","33.4500","52.5309","33.4500","0","56 pF","TopLayer"
"C35C","C_0603","29.4609","29.4609","36.5100","36.5100","28.7609","36.5100","0","56 pF","TopLayer"
"C35B","C_0603","53.8800","53.8800","54.2500","54.2500","53.1800","54.2500","0","56 pF","TopLayer"
"C35A","C_0603","46.6609","46.6609","36.4900","36.4900","45.9609","36.4900","0","56 pF","TopLayer"
"C37C","C_0603","32.4309","32.4309","34.8800","34.8800","33.1309","34.8800","180","12 nF","TopLayer"
"C37B","C_0603","56.8500","56.8500","52.6200","52.6200","57.5500","52.6200","180","12 nF","TopLayer"
"C37A","C_0603","49.6309","49.6309","34.8600","34.8600","50.3309","34.8600","180","12 nF","TopLayer"
"C13","C_0603","14.6700","14.6700","42.8600","42.8600","15.3700","42.8600","180","0.1 µF","TopLayer"
"C10","C_0603","12.6200","12.6200","32.5100","32.5100","13.3200","32.5100","180","0.1 µF","TopLayer"
"C14","C_0603","22.1000","22.1000","22.0000","22.0000","22.1000","22.7000","270","100 pF","TopLayer"
"C6","C_0603","28.7900","28.7900","12.1500","12.1500","29.4900","12.1500","180","0.1 µF","TopLayer"
"C11","C_0603","31.0800","31.0800","22.5400","22.5400","31.7800","22.5400","180","0.1 µF","TopLayer"
"C22","C_0603","72.3500","72.3500","31.9700","31.9700","72.3500","32.6700","270","0.1 µF","TopLayer"
"C20","C_0603","73.1000","73.1000","28.5600","28.5600","73.8000","28.5600","180","0.1 µF","TopLayer"
"C26","C_0603","69.5100","69.5100","24.3800","24.3800","68.8100","24.3800","0","56 pF","TopLayer"
"C25","C_0603","62.2900","62.2900","27.4100","27.4100","61.5900","27.4100","0","56 pF","TopLayer"
"C27","C_0603","65.2600","65.2600","25.8400","25.8400","65.9600","25.8400","180","12 nF","TopLayer"
"C23","C_0603","47.1100","47.1100","19.3500","19.3500","46.4100","19.3500","0","56 pF","TopLayer"
"C24","C_0603","54.2800","54.2800","16.2100","16.2100","53.5800","16.2100","0","56 pF","TopLayer"
"C21","C_0603","57.1700","57.1700","24.0300","24.0300","57.1700","24.7300","270","0.1 µF","TopLayer"
"C19","C_0603","57.9000","57.9000","20.5300","20.5300","58.6000","20.5300","180","0.1 µF","TopLayer"
"C12","C_0603","71.8800","71.8800","15.7600","15.7600","71.8800","16.4600","270","0.1 µF","TopLayer"
"C8","C_0603","82.1900","82.1900","13.7100","13.7100","82.1900","14.4100","270","0.1 µF","TopLayer"
"C40","C_0805","33.9800","33.9800","13.9700","13.9700","32.9800","13.9700","0","22 µF","TopLayer"
"C39","C_0805","33.9800","33.9800","16.6700","16.6700","32.9800","16.6700","0","22 µF","TopLayer"
"C18","C_0805","17.8200","17.8200","37.0100","37.0100","16.8200","37.0100","0","22 µF","TopLayer"
"C16","C_0805","17.8200","17.8200","34.3100","34.3100","16.8200","34.3100","0","22 µF","TopLayer"
"C17","C_0805","80.3800","80.3800","18.9100","18.9100","80.3800","17.9100","90","22 µF","TopLayer"
"C15","C_0805","77.6800","77.6800","18.9100","18.9100","77.6800","17.9100","90","22 µF","TopLayer"
"C41","C_1206","28.7800","28.7800","13.9700","13.9700","30.2300","13.9700","0","10 uF","TopLayer"
"C7","C_1206","12.6200","12.6200","34.3100","34.3100","14.0700","34.3100","0","10 uF","TopLayer"
"C4","C_1206","12.6200","12.6200","37.0100","37.0100","14.0700","37.0100","0","10 uF","TopLayer"
"C9","C_1206","28.7800","28.7800","16.6700","16.6700","30.2300","16.6700","0","10 uF","TopLayer"
"C28","C_1206","50.8000","50.8000","13.3600","13.3600","50.8000","11.9100","270","1 µF","TopLayer"
"C5","C_1206","80.3800","80.3800","13.7100","13.7100","80.3800","15.1600","90","10 uF","TopLayer"
"C3","C_1206","77.6800","77.6800","13.7100","13.7100","77.6800","15.1600","90","10 uF","TopLayer"
"J3","FCR7350","108.4685","98.7700","27.5000","27.5000","97.4900","27.5000","0","FCR7350B, PCB mount 4mm jack, BLACK","TopLayer"
"J4","FCR7350","108.4680","98.7695","42.5000","42.5000","97.4895","42.5000","0","FCR7350R, PCB mount 4mm jack, RED","TopLayer"
"X22","IMSA-9890S-20Z924","85.0000","85.0000","3.2000","3.2000","96.8750","1.9500","180","IMSA-9890S-20K-GT2","BottomLayer"
"X21","IMSA-9890S-20Z924","32.0000","32.0000","3.2000","3.2000","43.8750","1.9500","180","IMSA-9890S-20K-GT2","BottomLayer"
"L3","IND_1206_3216","34.6100","34.6100","20.3400","20.3400","33.2100","20.3400","0","LQM31PN4R7M00L","TopLayer"
"L1","IND_1206_3216","85.5500","85.5500","30.7000","30.7000","85.5500","32.1000","270","LQM31PN4R7M00L","TopLayer"
"L4","IND_1206_3216","18.4900","18.4900","40.3100","40.3100","17.0900","40.3100","0","LQM31PN4R7M00L","TopLayer"
"L2","IND_1206_3216","74.4200","74.4200","19.6700","19.6700","74.4200","18.2700","90","LQM31PN4R7M00L","TopLayer"
"L8C","INDC1608X95N","85.1300","85.1300","55.9300","55.9300","85.8800","55.9300","180","LQM18DN6R8M70L","TopLayer"
"L8B","INDC1608X95N","106.0600","106.0600","56.1300","56.1300","106.8100","56.1300","180","LQM18DN6R8M70L","TopLayer"
"L8A","INDC1608X95N","79.2500","79.2500","42.5000","42.5000","80.0000","42.5000","180","LQM18DN6R8M70L","TopLayer"
"L7C","INDC1608X95N","40.2709","40.2709","39.0700","39.0700","41.0209","39.0700","180","LQM18DN6R8M70L","TopLayer"
"L7B","INDC1608X95N","64.6900","64.6900","56.8100","56.8100","65.4400","56.8100","180","LQM18DN6R8M70L","TopLayer"
"L7A","INDC1608X95N","57.4709","57.4709","39.0500","39.0500","58.2209","39.0500","180","LQM18DN6R8M70L","TopLayer"
"L6","INDC1608X95N","73.1000","73.1000","29.9700","29.9700","73.8500","29.9700","180","LQM18DN6R8M70L","TopLayer"
"L5","INDC1608X95N","57.9200","57.9200","21.9300","21.9300","58.6700","21.9300","180","LQM18DN6R8M70L","TopLayer"
"X1","IPL1-115-01-YYY-D-K","31.9600","31.9600","70.0500","70.0500","14.1800","71.3200","0","IPL1-115-01-L-D-K","TopLayer"
"F1","Littlefuse_154","86.9500","86.9500","42.5000","39.3000","86.9500","42.5000","270","0154.500DR","TopLayer"
"R44","RES_0603_1608","44.6800","44.6800","63.4500","63.4500","44.6800","62.8000","90","0R","TopLayer"
"R3","RES_0603_1608","15.4400","15.4400","63.4500","63.4500","16.0900","63.4500","180","100R","TopLayer"
"R50","RES_0603_1608","49.5000","49.5000","49.8100","49.8100","48.8500","49.8100","0","5.05k","TopLayer"
"R49","RES_0603_1608","45.4500","45.4500","47.1600","47.1600","44.8000","47.1600","0","5.05k","TopLayer"
"R29","RES_0603_1608","47.0200","47.0200","14.8200","14.8200","47.6700","14.8200","180","5.05k","TopLayer"
"R48","RES_0603_1608","76.9500","76.9500","68.2900","68.2900","76.9500","67.6400","90","0R","TopLayer"
"R30","RES_0603_1608","53.6200","53.6200","14.1700","14.1700","53.6200","14.8200","270","0R","TopLayer"
"R1","RES_0603_1608","100.6100","100.6100","4.2100","4.2100","99.9600","4.2100","0","0R","TopLayer"
"R47","RES_0603_1608","46.3800","46.3800","63.4500","63.4500","46.3800","62.8000","90","0R","TopLayer"
"R46","RES_0603_1608","48.0800","48.0800","63.4500","63.4500","48.0800","62.8000","90","0R","TopLayer"
"R45","RES_0603_1608","42.9800","42.9800","63.4500","63.4500","42.9800","62.8000","90","0R","TopLayer"
