time	V(o+,o-)
0.000000000000000e+000	8.081012e-001
3.657142899880586e-006	8.081027e-001
7.314285799761172e-006	8.081072e-001
1.097142869964176e-005	8.081145e-001
1.462857159952234e-005	8.081248e-001
1.828571449940293e-005	8.081380e-001
2.194285739928352e-005	8.081541e-001
2.560000029916409e-005	8.081732e-001
4.513125029916410e-005	8.083208e-001
6.466250029916410e-005	8.085442e-001
8.419375029916411e-005	8.088381e-001
1.037250002991641e-004	8.091991e-001
1.232562502991641e-004	8.096232e-001
1.427875002991641e-004	8.101068e-001
1.623187502991641e-004	8.106458e-001
2.013812502991641e-004	8.118792e-001
2.404437502991640e-004	8.132989e-001
2.795062502991641e-004	8.148842e-001
3.381000002991641e-004	8.175316e-001
3.966937502991642e-004	8.204541e-001
4.552875002991642e-004	8.236053e-001
5.110910717277357e-004	8.268312e-001
5.668946431563072e-004	8.301501e-001
6.226982145848786e-004	8.335621e-001
6.785017860134502e-004	8.370673e-001
7.343053574420217e-004	8.406655e-001
7.901089288705932e-004	8.443568e-001
8.459125002991645e-004	8.481412e-001
9.407785717277360e-004	8.546560e-001
1.035644643156308e-003	8.611927e-001
1.130510714584879e-003	8.677512e-001
1.225376786013451e-003	8.743316e-001
1.320242857442022e-003	8.809338e-001
1.415108928870594e-003	8.875578e-001
1.509975000299165e-003	8.942037e-001
1.705287500299165e-003	9.077343e-001
1.900600000299165e-003	9.210667e-001
2.095912500299166e-003	9.342009e-001
2.291225000299166e-003	9.471368e-001
2.486537500299166e-003	9.598745e-001
2.681850000299167e-003	9.724140e-001
2.877162500299166e-003	9.847553e-001
3.747698214584866e-003	1.036468e+000
4.618233928870565e-003	1.085244e+000
5.488769643156265e-003	1.131082e+000
6.359305357441964e-003	1.173983e+000
7.229841071727663e-003	1.213947e+000
8.100376786013363e-003	1.250974e+000
8.970912500299060e-003	1.285063e+000
9.972586607441896e-003	1.322038e+000
1.097426071458473e-002	1.357042e+000
1.197593482172757e-002	1.390076e+000
1.297760892887041e-002	1.421140e+000
1.397928303601324e-002	1.450233e+000
1.498095714315608e-002	1.477355e+000
1.598263125029891e-002	1.502507e+000
1.650439464315604e-002	1.515228e+000
1.702615803601318e-002	1.527617e+000
1.754792142887031e-002	1.539672e+000
1.806968482172744e-002	1.551395e+000
1.859144821458457e-002	1.562784e+000
1.911321160744170e-002	1.573841e+000
1.963497500029883e-002	1.584564e+000
1.965450625029883e-002	1.584962e+000
1.998653750029883e-002	1.591650e+000
2.000000000000000e-002	1.591919e+000
